Season,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,home_pk_scored,home_pk_awarded,away_pk_scored,away_pk_awarded
2019-20,Liverpool,Norwich,4,1,H,0,0,0,0
2019-20,West Ham,Man City,0,5,A,0,0,1,1
2019-20,Bournemouth,Sheffield United,1,1,D,0,0,0,0
2019-20,Burnley,Southampton,3,0,H,0,0,0,0
2019-20,Crystal Palace,Everton,0,0,D,0,0,0,0
2019-20,Watford,Brighton,0,3,A,0,0,0,0
2019-20,Tottenham,Aston Villa,3,1,H,0,0,0,0
2019-20,Leicester,Wolves,0,0,D,0,0,0,0
2019-20,Newcastle,Arsenal,0,1,A,0,0,0,0
2019-20,Man United,Chelsea,4,0,H,1,1,0,0
2019-20,Arsenal,Burnley,2,1,H,0,0,0,0
2019-20,Aston Villa,Bournemouth,1,2,A,0,0,1,1
2019-20,Brighton,West Ham,1,1,D,0,0,0,0
2019-20,Everton,Watford,1,0,H,0,0,0,0
2019-20,Norwich,Newcastle,3,1,H,0,0,0,0
2019-20,Southampton,Liverpool,1,2,A,0,0,0,0
2019-20,Man City,Tottenham,2,2,D,0,0,0,0
2019-20,Sheffield United,Crystal Palace,1,0,H,0,0,0,0
2019-20,Chelsea,Leicester,1,1,D,0,0,0,0
2019-20,Wolves,Man United,1,1,D,0,0,0,0
2019-20,Aston Villa,Everton,2,0,H,0,0,0,0
2019-20,Norwich,Chelsea,2,3,A,0,0,0,0
2019-20,Brighton,Southampton,0,2,A,0,0,0,0
2019-20,Man United,Crystal Palace,1,2,A,0,1,0,0
2019-20,Sheffield United,Leicester,1,2,A,0,0,0,0
2019-20,Watford,West Ham,1,3,A,0,0,1,1
2019-20,Liverpool,Arsenal,3,1,H,1,1,0,0
2019-20,Bournemouth,Man City,1,3,A,0,0,0,0
2019-20,Tottenham,Newcastle,0,1,A,0,0,0,0
2019-20,Wolves,Burnley,1,1,D,0,0,0,0
2019-20,Southampton,Man United,1,1,D,0,0,0,0
2019-20,Chelsea,Sheffield United,2,2,D,0,0,0,0
2019-20,Crystal Palace,Aston Villa,1,0,H,0,0,0,0
2019-20,Leicester,Bournemouth,3,1,H,0,0,0,0
2019-20,Man City,Brighton,4,0,H,0,0,0,0
2019-20,Newcastle,Watford,1,1,D,0,0,0,0
2019-20,West Ham,Norwich,2,0,H,0,0,0,0
2019-20,Burnley,Liverpool,0,3,A,0,0,0,0
2019-20,Everton,Wolves,3,2,H,0,0,0,0
2019-20,Arsenal,Tottenham,2,2,D,0,0,1,1
2019-20,Liverpool,Newcastle,3,1,H,0,0,0,0
2019-20,Brighton,Burnley,1,1,D,0,0,0,0
2019-20,Man United,Leicester,1,0,H,1,1,0,0
2019-20,Sheffield United,Southampton,0,1,A,0,0,0,0
2019-20,Tottenham,Crystal Palace,4,0,H,0,0,0,0
2019-20,Wolves,Chelsea,2,5,A,0,0,0,0
2019-20,Norwich,Man City,3,2,H,0,0,0,0
2019-20,Bournemouth,Everton,3,1,H,0,0,0,0
2019-20,Watford,Arsenal,2,2,D,1,1,0,0
2019-20,Aston Villa,West Ham,0,0,D,0,0,0,0
2019-20,Southampton,Bournemouth,1,3,A,1,1,0,0
2019-20,Leicester,Tottenham,2,1,H,0,0,0,0
2019-20,Burnley,Norwich,2,0,H,0,0,0,0
2019-20,Everton,Sheffield United,0,2,A,0,0,0,0
2019-20,Man City,Watford,8,0,H,1,1,0,0
2019-20,Newcastle,Brighton,0,0,D,0,0,0,0
2019-20,Crystal Palace,Wolves,1,1,D,0,0,0,0
2019-20,West Ham,Man United,2,0,H,0,0,0,0
2019-20,Arsenal,Aston Villa,3,2,H,0,0,0,0
2019-20,Chelsea,Liverpool,1,2,A,0,0,0,0
2019-20,Sheffield United,Liverpool,0,1,A,0,0,0,0
2019-20,Aston Villa,Burnley,2,2,D,0,0,0,0
2019-20,Bournemouth,West Ham,2,2,D,0,0,0,0
2019-20,Chelsea,Brighton,2,0,H,1,1,0,0
2019-20,Crystal Palace,Norwich,2,0,H,1,1,0,0
2019-20,Tottenham,Southampton,2,1,H,0,0,0,0
2019-20,Wolves,Watford,2,0,H,0,0,0,0
2019-20,Everton,Man City,1,3,A,0,0,0,0
2019-20,Leicester,Newcastle,5,0,H,0,0,0,0
2019-20,Man United,Arsenal,1,1,D,0,0,0,0
2019-20,Brighton,Tottenham,3,0,H,0,0,0,0
2019-20,Burnley,Everton,1,0,H,0,0,0,0
2019-20,Liverpool,Leicester,2,1,H,1,1,0,0
2019-20,Norwich,Aston Villa,1,5,A,0,0,0,1
2019-20,Watford,Sheffield United,0,0,D,0,0,0,0
2019-20,West Ham,Crystal Palace,1,2,A,0,0,1,1
2019-20,Arsenal,Bournemouth,1,0,H,0,0,0,0
2019-20,Man City,Wolves,0,2,A,0,0,0,0
2019-20,Southampton,Chelsea,1,4,A,0,0,0,0
2019-20,Newcastle,Man United,1,0,H,0,0,0,0
2019-20,Everton,West Ham,2,0,H,0,0,0,0
2019-20,Aston Villa,Brighton,2,1,H,0,0,0,0
2019-20,Bournemouth,Norwich,0,0,D,0,0,0,0
2019-20,Chelsea,Newcastle,1,0,H,0,0,0,0
2019-20,Leicester,Burnley,2,1,H,0,0,0,0
2019-20,Tottenham,Watford,1,1,D,0,0,0,0
2019-20,Wolves,Southampton,1,1,D,0,0,0,0
2019-20,Crystal Palace,Man City,0,2,A,0,0,0,0
2019-20,Man United,Liverpool,1,1,D,0,0,0,0
2019-20,Sheffield United,Arsenal,1,0,H,0,0,0,0
2019-20,Southampton,Leicester,0,9,A,0,0,1,1
2019-20,Man City,Aston Villa,3,0,H,0,0,0,0
2019-20,Brighton,Everton,3,2,H,1,1,0,0
2019-20,Watford,Bournemouth,0,0,D,0,0,0,0
2019-20,West Ham,Sheffield United,1,1,D,0,0,0,0
2019-20,Burnley,Chelsea,2,4,A,0,0,0,0
2019-20,Newcastle,Wolves,1,1,D,0,0,0,0
2019-20,Arsenal,Crystal Palace,2,2,D,0,0,1,1
2019-20,Liverpool,Tottenham,2,1,H,1,1,0,0
2019-20,Norwich,Man United,1,3,A,0,0,0,2
2019-20,Bournemouth,Man United,1,0,H,0,0,0,0
2019-20,Arsenal,Wolves,1,1,D,0,0,0,0
2019-20,Aston Villa,Liverpool,1,2,A,0,0,0,0
2019-20,Brighton,Norwich,2,0,H,0,0,0,0
2019-20,Man City,Southampton,2,1,H,0,0,0,0
2019-20,Sheffield United,Burnley,3,0,H,0,0,0,0
2019-20,West Ham,Newcastle,2,3,A,0,0,0,0
2019-20,Watford,Chelsea,1,2,A,1,1,0,0
2019-20,Crystal Palace,Leicester,0,2,A,0,0,0,0
2019-20,Everton,Tottenham,1,1,D,0,0,0,0
2019-20,Norwich,Watford,0,2,A,0,0,0,0
2019-20,Chelsea,Crystal Palace,2,0,H,0,0,0,0
2019-20,Burnley,West Ham,3,0,H,0,0,0,0
2019-20,Newcastle,Bournemouth,2,1,H,0,0,0,0
2019-20,Southampton,Everton,1,2,A,0,0,0,0
2019-20,Tottenham,Sheffield United,1,1,D,0,0,0,0
2019-20,Leicester,Arsenal,2,0,H,0,0,0,0
2019-20,Man United,Brighton,3,1,H,0,0,0,0
2019-20,Wolves,Aston Villa,2,1,H,0,0,0,0
2019-20,Liverpool,Man City,3,1,H,0,0,0,0
2019-20,West Ham,Tottenham,2,3,A,0,0,0,0
2019-20,Arsenal,Southampton,2,2,D,0,0,0,1
2019-20,Bournemouth,Wolves,1,2,A,0,0,0,0
2019-20,Brighton,Leicester,0,2,A,0,0,1,1
2019-20,Crystal Palace,Liverpool,1,2,A,0,0,0,0
2019-20,Everton,Norwich,0,2,A,0,0,0,0
2019-20,Watford,Burnley,0,3,A,0,0,1,1
2019-20,Man City,Chelsea,2,1,H,0,0,0,0
2019-20,Sheffield United,Man United,3,3,D,0,0,0,0
2019-20,Aston Villa,Newcastle,2,0,H,0,0,0,0
2019-20,Newcastle,Man City,2,2,D,0,0,0,0
2019-20,Burnley,Crystal Palace,0,2,A,0,0,0,0
2019-20,Chelsea,West Ham,0,1,A,0,0,0,0
2019-20,Liverpool,Brighton,2,1,H,0,0,0,0
2019-20,Tottenham,Bournemouth,3,2,H,0,0,0,0
2019-20,Southampton,Watford,2,1,H,0,0,0,0
2019-20,Norwich,Arsenal,2,2,D,0,0,1,1
2019-20,Wolves,Sheffield United,1,1,D,0,0,0,0
2019-20,Leicester,Everton,2,1,H,0,0,0,0
2019-20,Man United,Aston Villa,2,2,D,0,0,0,0
2019-20,Crystal Palace,Bournemouth,1,0,H,0,0,0,0
2019-20,Burnley,Man City,1,4,A,0,0,0,0
2019-20,Chelsea,Aston Villa,2,1,H,0,0,0,0
2019-20,Leicester,Watford,2,0,H,1,1,0,0
2019-20,Man United,Tottenham,2,1,H,1,1,0,0
2019-20,Southampton,Norwich,2,1,H,0,0,0,0
2019-20,Wolves,West Ham,2,0,H,0,0,0,0
2019-20,Liverpool,Everton,5,2,H,0,0,0,0
2019-20,Sheffield United,Newcastle,0,2,A,0,0,0,0
2019-20,Arsenal,Brighton,1,2,A,0,0,0,0
2019-20,Everton,Chelsea,3,1,H,0,0,0,0
2019-20,Bournemouth,Liverpool,0,3,A,0,0,0,0
2019-20,Tottenham,Burnley,5,0,H,0,0,0,0
2019-20,Watford,Crystal Palace,0,0,D,0,0,0,0
2019-20,Man City,Man United,1,2,A,0,0,1,1
2019-20,Aston Villa,Leicester,1,4,A,0,0,0,0
2019-20,Newcastle,Southampton,2,1,H,0,0,0,0
2019-20,Norwich,Sheffield United,1,2,A,0,0,0,0
2019-20,Brighton,Wolves,2,2,D,0,0,0,0
2019-20,West Ham,Arsenal,1,3,A,0,0,0,0
2019-20,Liverpool,Watford,2,0,H,0,0,0,0
2019-20,Burnley,Newcastle,1,0,H,0,0,0,0
2019-20,Chelsea,Bournemouth,0,1,A,0,0,0,0
2019-20,Leicester,Norwich,1,1,D,0,0,0,0
2019-20,Sheffield United,Aston Villa,2,0,H,0,0,0,1
2019-20,Southampton,West Ham,0,1,A,0,0,0,0
2019-20,Man United,Everton,1,1,D,0,0,0,0
2019-20,Wolves,Tottenham,1,2,A,0,0,0,0
2019-20,Arsenal,Man City,0,3,A,0,0,0,0
2019-20,Crystal Palace,Brighton,1,1,D,0,0,0,0
2019-20,Everton,Arsenal,0,0,D,0,0,0,0
2019-20,Aston Villa,Southampton,1,3,A,0,0,0,0
2019-20,Bournemouth,Burnley,0,1,A,0,0,0,0
2019-20,Brighton,Sheffield United,0,1,A,0,0,0,0
2019-20,Newcastle,Crystal Palace,1,0,H,0,0,0,0
2019-20,Norwich,Wolves,1,2,A,0,0,0,0
2019-20,Man City,Leicester,3,1,H,1,1,0,0
2019-20,Watford,Man United,2,0,H,1,1,0,0
2019-20,Tottenham,Chelsea,0,2,A,0,0,1,1
2019-20,Tottenham,Brighton,2,1,H,0,0,0,0
2019-20,Aston Villa,Norwich,1,0,H,0,0,0,0
2019-20,Bournemouth,Arsenal,1,1,D,0,0,0,0
2019-20,Chelsea,Southampton,0,2,A,0,0,0,0
2019-20,Crystal Palace,West Ham,2,1,H,0,0,0,0
2019-20,Everton,Burnley,1,0,H,0,0,0,0
2019-20,Sheffield United,Watford,1,1,D,1,1,0,0
2019-20,Man United,Newcastle,4,1,H,0,0,0,0
2019-20,Leicester,Liverpool,0,4,A,0,0,1,1
2019-20,Wolves,Man City,3,2,H,0,0,0,0
2019-20,Brighton,Bournemouth,2,0,H,0,0,0,0
2019-20,Newcastle,Everton,1,2,A,0,0,0,0
2019-20,Southampton,Crystal Palace,1,1,D,0,0,0,0
2019-20,Watford,Aston Villa,3,0,H,1,1,0,0
2019-20,Norwich,Tottenham,2,2,D,0,0,1,1
2019-20,West Ham,Leicester,1,2,A,0,0,0,1
2019-20,Burnley,Man United,0,2,A,0,0,0,0
2019-20,Arsenal,Chelsea,1,2,A,0,0,0,0
2019-20,Liverpool,Wolves,1,0,H,0,0,0,0
2019-20,Man City,Sheffield United,2,0,H,0,0,0,0
2019-20,Brighton,Chelsea,1,1,D,0,0,0,0
2019-20,Burnley,Aston Villa,1,2,A,0,0,0,0
2019-20,Newcastle,Leicester,0,3,A,0,0,0,0
2019-20,Southampton,Tottenham,1,0,H,0,0,0,0
2019-20,Watford,Wolves,2,1,H,0,0,0,0
2019-20,Man City,Everton,2,1,H,0,0,0,0
2019-20,Norwich,Crystal Palace,1,1,D,0,0,0,0
2019-20,West Ham,Bournemouth,4,0,H,1,1,0,0
2019-20,Arsenal,Man United,2,0,H,0,0,0,0
2019-20,Liverpool,Sheffield United,2,0,H,0,0,0,0
2019-20,Sheffield United,West Ham,1,0,H,0,0,0,0
2019-20,Crystal Palace,Arsenal,1,1,D,0,0,0,0
2019-20,Chelsea,Burnley,3,0,H,1,1,0,0
2019-20,Everton,Brighton,1,0,H,0,0,0,0
2019-20,Leicester,Southampton,1,2,A,0,0,0,0
2019-20,Man United,Norwich,4,0,H,1,1,0,0
2019-20,Wolves,Newcastle,1,1,D,0,0,0,0
2019-20,Tottenham,Liverpool,0,1,A,0,0,0,0
2019-20,Bournemouth,Watford,0,3,A,0,0,0,0
2019-20,Aston Villa,Man City,1,6,A,1,1,0,0
2019-20,Watford,Tottenham,0,0,D,0,1,0,0
2019-20,Arsenal,Sheffield United,1,1,D,0,0,0,0
2019-20,Brighton,Aston Villa,1,1,D,0,0,0,0
2019-20,Man City,Crystal Palace,2,2,D,0,0,0,0
2019-20,Norwich,Bournemouth,1,0,H,1,1,0,0
2019-20,Southampton,Wolves,2,3,A,0,0,0,0
2019-20,West Ham,Everton,1,1,D,0,0,0,0
2019-20,Newcastle,Chelsea,1,0,H,0,0,0,0
2019-20,Burnley,Leicester,2,1,H,0,0,0,1
2019-20,Liverpool,Man United,2,0,H,0,0,0,0
2019-20,Aston Villa,Watford,2,1,H,0,0,0,0
2019-20,Bournemouth,Brighton,3,1,H,0,0,0,0
2019-20,Crystal Palace,Southampton,0,2,A,0,0,0,0
2019-20,Everton,Newcastle,2,2,D,0,0,0,0
2019-20,Sheffield United,Man City,0,1,A,0,0,0,1
2019-20,Chelsea,Arsenal,2,2,D,1,1,0,0
2019-20,Leicester,West Ham,4,1,H,1,1,1,1
2019-20,Tottenham,Norwich,2,1,H,0,0,1,1
2019-20,Man United,Burnley,0,2,A,0,0,0,0
2019-20,Wolves,Liverpool,1,2,A,0,0,0,0
2019-20,West Ham,Liverpool,0,2,A,0,0,1,1
2019-20,Leicester,Chelsea,2,2,D,0,0,0,0
2019-20,Bournemouth,Aston Villa,2,1,H,0,0,0,0
2019-20,Crystal Palace,Sheffield United,0,1,A,0,0,0,0
2019-20,Liverpool,Southampton,4,0,H,0,0,0,0
2019-20,Newcastle,Norwich,0,0,D,0,0,0,0
2019-20,Watford,Everton,2,3,A,0,0,0,0
2019-20,West Ham,Brighton,3,3,D,0,0,0,0
2019-20,Man United,Wolves,0,0,D,0,0,0,0
2019-20,Burnley,Arsenal,0,0,D,0,0,0,0
2019-20,Tottenham,Man City,2,0,H,0,0,0,1
2019-20,Everton,Crystal Palace,3,1,H,0,0,0,0
2019-20,Brighton,Watford,1,1,D,0,0,0,0
2019-20,Sheffield United,Bournemouth,2,1,H,0,0,0,0
2019-20,Wolves,Leicester,0,0,D,0,0,0,0
2019-20,Southampton,Burnley,1,2,A,0,0,0,0
2019-20,Norwich,Liverpool,0,1,A,0,0,0,0
2019-20,Aston Villa,Tottenham,2,3,A,0,0,0,1
2019-20,Arsenal,Newcastle,4,0,H,0,0,0,0
2019-20,Chelsea,Man United,0,2,A,0,0,0,0
2019-20,Man City,West Ham,2,0,H,0,0,0,0
2019-20,Chelsea,Tottenham,2,1,H,0,0,0,0
2019-20,Burnley,Bournemouth,3,0,H,1,1,0,0
2019-20,Crystal Palace,Newcastle,1,0,H,0,0,0,0
2019-20,Sheffield United,Brighton,1,1,D,0,0,0,0
2019-20,Southampton,Aston Villa,2,0,H,0,0,0,0
2019-20,Leicester,Man City,0,1,A,0,0,0,1
2019-20,Man United,Watford,3,0,H,1,1,0,0
2019-20,Wolves,Norwich,3,0,H,0,0,0,0
2019-20,Arsenal,Everton,3,2,H,0,0,0,0
2019-20,Liverpool,West Ham,3,2,H,0,0,0,0
2019-20,Norwich,Leicester,1,0,H,0,0,0,0
2019-20,Brighton,Crystal Palace,0,1,A,0,0,0,0
2019-20,Bournemouth,Chelsea,2,2,D,0,0,0,0
2019-20,Newcastle,Burnley,0,0,D,0,0,0,0
2019-20,West Ham,Southampton,3,1,H,0,0,0,0
2019-20,Watford,Liverpool,3,0,H,0,0,0,0
2019-20,Everton,Man United,1,1,D,0,0,0,0
2019-20,Tottenham,Wolves,2,3,A,0,0,0,0
2019-20,Liverpool,Bournemouth,2,1,H,0,0,0,0
2019-20,Arsenal,West Ham,1,0,H,0,0,0,0
2019-20,Crystal Palace,Watford,1,0,H,0,0,0,0
2019-20,Sheffield United,Norwich,1,0,H,0,0,0,0
2019-20,Southampton,Newcastle,0,1,A,0,0,0,1
2019-20,Wolves,Brighton,0,0,D,0,0,0,0
2019-20,Burnley,Tottenham,1,1,D,0,0,1,1
2019-20,Chelsea,Everton,4,0,H,0,0,0,0
2019-20,Man United,Man City,2,0,H,0,0,0,0
2019-20,Leicester,Aston Villa,4,0,H,1,1,0,0
2019-20,Aston Villa,Sheffield United,0,0,D,0,0,0,0
2019-20,Man City,Arsenal,3,0,H,1,1,0,0
2019-20,Norwich,Southampton,0,3,A,0,0,0,0
2019-20,Tottenham,Man United,1,1,D,0,0,1,1
2019-20,Watford,Leicester,1,1,D,0,0,0,0
2019-20,Brighton,Arsenal,2,1,H,0,0,0,0
2019-20,West Ham,Wolves,0,2,A,0,0,0,0
2019-20,Bournemouth,Crystal Palace,0,2,A,0,0,0,0
2019-20,Newcastle,Sheffield United,3,0,H,0,0,0,0
2019-20,Aston Villa,Chelsea,1,2,A,0,0,0,0
2019-20,Everton,Liverpool,0,0,D,0,0,0,0
2019-20,Man City,Burnley,5,0,H,0,0,0,0
2019-20,Leicester,Brighton,0,0,D,0,0,0,0
2019-20,Tottenham,West Ham,2,0,H,0,0,0,0
2019-20,Man United,Sheffield United,3,0,H,0,0,0,0
2019-20,Newcastle,Aston Villa,1,1,D,0,0,0,0
2019-20,Norwich,Everton,0,1,A,0,0,0,0
2019-20,Wolves,Bournemouth,1,0,H,0,0,0,0
2019-20,Liverpool,Crystal Palace,4,0,H,0,0,0,0
2019-20,Burnley,Watford,1,0,H,0,0,0,0
2019-20,Southampton,Arsenal,0,2,A,0,0,0,0
2019-20,Chelsea,Man City,2,1,H,0,0,0,0
2019-20,Aston Villa,Wolves,0,1,A,0,0,0,0
2019-20,Watford,Southampton,1,3,A,0,0,0,0
2019-20,Crystal Palace,Burnley,0,1,A,0,0,0,0
2019-20,Brighton,Man United,0,3,A,0,0,0,0
2019-20,Arsenal,Norwich,4,0,H,0,0,0,0
2019-20,Bournemouth,Newcastle,1,4,A,0,0,0,0
2019-20,Everton,Leicester,2,1,H,0,0,0,0
2019-20,West Ham,Chelsea,3,2,H,0,0,0,0
2019-20,Sheffield United,Tottenham,3,1,H,0,0,0,0
2019-20,Man City,Liverpool,4,0,H,0,0,0,0
2019-20,Norwich,Brighton,0,1,A,0,0,0,0
2019-20,Leicester,Crystal Palace,3,0,H,0,0,0,0
2019-20,Man United,Bournemouth,5,2,H,0,0,0,0
2019-20,Wolves,Arsenal,0,2,A,0,0,0,0
2019-20,Chelsea,Watford,3,0,H,0,0,0,0
2019-20,Burnley,Sheffield United,1,1,D,0,0,0,0
2019-20,Newcastle,West Ham,2,2,D,0,0,0,0
2019-20,Liverpool,Aston Villa,2,0,H,0,0,0,0
2019-20,Southampton,Man City,1,0,H,0,0,0,0
2019-20,Tottenham,Everton,1,0,H,0,0,0,0
2019-20,Crystal Palace,Chelsea,2,3,A,0,0,0,0
2019-20,Watford,Norwich,2,1,H,0,0,0,0
2019-20,Arsenal,Leicester,1,1,D,0,0,0,0
2019-20,Man City,Newcastle,5,0,H,0,0,0,0
2019-20,Sheffield United,Wolves,1,0,H,0,0,0,0
2019-20,West Ham,Burnley,0,1,A,0,0,0,0
2019-20,Brighton,Liverpool,1,3,A,0,0,0,0
2019-20,Bournemouth,Tottenham,0,0,D,0,0,0,0
2019-20,Everton,Southampton,1,1,D,0,0,0,0
2019-20,Aston Villa,Man United,0,3,A,0,0,0,0
2019-20,Norwich,West Ham,0,4,A,0,0,0,0
2019-20,Watford,Newcastle,2,1,H,0,0,0,0
2019-20,Liverpool,Burnley,1,1,D,0,0,0,0
2019-20,Sheffield United,Chelsea,3,0,H,0,0,0,0
2019-20,Brighton,Man City,0,5,A,0,0,0,0
2019-20,Wolves,Everton,3,0,H,0,0,0,0
2019-20,Aston Villa,Crystal Palace,2,0,H,0,0,0,0
2019-20,Tottenham,Arsenal,2,1,H,0,0,0,0
2019-20,Bournemouth,Leicester,4,1,H,0,0,0,0
2019-20,Man United,Southampton,2,2,D,0,0,0,0
2019-20,Chelsea,Norwich,1,0,H,0,0,0,0
2019-20,Burnley,Wolves,1,1,D,0,0,0,0
2019-20,Man City,Bournemouth,2,1,H,0,0,0,0
2019-20,Newcastle,Tottenham,1,3,A,0,0,0,0
2019-20,Arsenal,Liverpool,2,1,H,0,0,0,0
2019-20,Everton,Aston Villa,1,1,D,0,0,0,0
2019-20,Leicester,Sheffield United,2,0,H,0,0,0,0
2019-20,Crystal Palace,Man United,0,2,A,0,0,0,0
2019-20,Southampton,Brighton,1,1,D,0,0,0,0
2019-20,West Ham,Watford,3,1,H,0,0,0,0
2019-20,Norwich,Burnley,0,2,A,0,0,0,0
2019-20,Bournemouth,Southampton,0,2,A,0,0,0,0
2019-20,Tottenham,Leicester,3,0,H,0,0,0,0
2019-20,Brighton,Newcastle,0,0,D,0,0,0,0
2019-20,Sheffield United,Everton,0,1,A,0,0,0,0
2019-20,Wolves,Crystal Palace,2,0,H,0,0,0,0
2019-20,Watford,Man City,0,4,A,0,0,0,0
2019-20,Aston Villa,Arsenal,1,0,H,0,0,1,1
2019-20,Man United,West Ham,1,1,D,0,0,0,0
2019-20,Liverpool,Chelsea,5,3,H,0,0,0,0
2019-20,Arsenal,Watford,3,2,H,0,0,0,0
2019-20,Burnley,Brighton,1,2,A,0,0,0,0
2019-20,Chelsea,Wolves,2,0,H,0,0,0,0
2019-20,Crystal Palace,Tottenham,1,1,D,0,0,0,0
2019-20,Everton,Bournemouth,1,3,A,0,0,0,0
2019-20,Leicester,Man United,0,2,A,0,0,0,0
2019-20,Man City,Norwich,5,0,H,0,0,0,0
2019-20,Newcastle,Liverpool,1,3,A,0,0,0,0
2019-20,Southampton,Sheffield United,3,1,H,0,0,0,0
2019-20,West Ham,Aston Villa,1,1,D,0,0,0,0
